TC 	SC 	PY 	MC 	MCI 	MCF 	MCT 	OC 	Gloss
潮 	潮 	cháo 	drjew 	dr- 	-jew 	even 	*N-t‹r›aw {*[N]-t‹r›aw} 	morning tide
朝 	朝 	cháo 	drjew 	dr- 	-jew 	even 	*m-t‹r›aw {*[m]-t‹r›aw} 	(morning) audience at court
巢 	巢 	cháo 	dzræw 	dzr- 	-æw 	even 	*dzˁraw {*[dz]ˁraw} 	nest
車 	车 	chē 	tsyhæ 	tsyh- 	-jæ 	even 	*t.qʰa {*[t.qʰ](r)A} 	chariot
撤 	撤 	chè 	drjet 	dr- 	-jet 	entering 	*m-tʰret {*m-tʰr[e]t} 	remove, take away
徹 	彻 	chè 	drjet 	dr- 	-jet 	entering 	*m-tʰret {*m-[tʰ]ret} 	penetrate
坼 	坼 	chè 	trhæk 	trh- 	-æk 	entering 	*Nə-qʰˁ‹r›ak 	split (v.i.)
撤 	撤 	chè 	trhjet 	trh- 	-jet 	entering 	*tʰret {*tʰr[e]t} 	remove, take away
徹 	彻 	chè 	trhjet 	trh- 	-jet 	entering 	*tʰret {*[tʰ]ret} 	penetrate
瞋 	瞋 	chēn 	tsyhin 	tsyh- 	-in 	even 	*tʰin {*tʰi[n]} 	glare (v.)
沈 	沈 	chén 	drim 	dr- 	-im 	even 	*lrəm {*[l]r[ə]m} ~ *m-lr[ə]m 	sink (v.)
沈 	沈 	chén 	drim 	dr- 	-im 	even 	*lrəm {*[l]r[ə]m} 	sacrifice in which gifts are sunk in water
沈 	沈 	chén 	drimH 	dr- 	-im 	departing 	*lrəm-s {*[l]r[ə]m-s} 	sacrifice in which gifts are sunk in water
塵 	尘 	chén 	drin 	dr- 	-in 	even 	*drən {*[d]rə[n]} 	dust (n.)
陳 	陈 	chén 	drin 	dr- 	-in 	even 	*lrin {*lri[n]} 	arrange
煁 	煁 	chén 	dzyim 	dzy- 	-im 	even 	*dəm {*[d][ə]m} 	small furnace
忱 	忱 	chén 	dzyim 	dzy- 	-im 	even 	*t.ɢəm {*[t.ɢ][ə]m} 	sincere
諶 	谌 	chén 	dzyim 	dzy- 	-im 	even 	*t.ɢəm {*[t.ɢ][ə]m} 	reliable, to trust
辰 	辰 	chén 	dzyin 	dzy- 	-in 	even 	*dər {*[d]ər} 	5th earthly branch
晨 	晨 	chén 	dzyin 	dzy- 	-in 	even 	*dər {*[d]ər} 	part of Scorpio; morning
臣 	臣 	chén 	dzyin 	dzy- 	-in 	even 	*ɡin {*[ɡ]i[n]} 	slave, subject
晨 	晨 	chén 	zyin 	zy- 	-in 	even 	*sə.dər {*sə.[d]ər} 	part of Scorpio; morning
瞠 	瞠 	chēng 	trhæng 	trh- 	-æng 	even 	*tʰˁraŋ 	look straight at, stare
䞓 	䞓 	chēng 	trhjeng 	trh- 	-jeng 	even 	*t-kʰreŋ 	red
稱 	称 	chēng 	tsyhing 	tsyh- 	-ing 	even 	*tʰəŋ 	weigh; evaluate; call
𣥺 	𣥺 	chéng 	dræng 	dr- 	-æng 	even 	*m-tˁ‹r›aŋ 	serve as support for
澄 	澄 	chéng 	dring 	dr- 	-ing 	even 	*drəŋ {*[d]rəŋ} 	limpid, clear
懲 	惩 	chéng 	dring 	dr- 	-ing 	even 	*m-trəŋ 	reprove; punish
程 	程 	chéng 	drjeng 	dr- 	-jeng 	even 	*C.lreŋ 	Chéng (a surname)
呈 	呈 	chéng 	drjeng 	dr- 	-jeng 	even 	*lreŋ 	to manifest
城 	城 	chéng 	dzyeng 	dzy- 	-jeng 	even 	*Cə.deŋ {*Cə.[d]eŋ} 	city wall
誠 	诚 	chéng 	dzyeng 	dzy- 	-jeng 	even 	*deŋ {*[d]eŋ} 	sincere
盛 	盛 	chéng 	dzyeng 	dzy- 	-jeng 	even 	*deŋ {*[d]eŋ} 	put in (a receptacle)
成 	成 	chéng 	dzyeng 	dzy- 	-jeng 	even 	*deŋ {*[d]eŋ} 	to become (v.i.)
成 	成 	chéng 	dzyeng 	dzy- 	-jeng 	even 	*m-deŋ {*m-[d]eŋ} 	to complete (tr. v)
承 	承 	chéng 	dzying 	dzy- 	-ing 	even 	*dəŋ {*[d]əŋ} 	receive
丞 	丞 	chéng 	dzying 	dzy- 	-ing 	even 	*m-təŋ 	assist
塍 	塍 	chéng 	zying 	zy- 	-ing 	even 	*Cə.ləŋ 	raised path between fields
乘 	乘 	chéng 	zying 	zy- 	-ing 	even 	*Cə.ləŋ 	ride (v.)
騁 	骋 	chěng 	trhjengX 	trh- 	-jeng 	rising 	*l̥reŋʔ {*[l̥]reŋʔ} 	gallop
逞 	逞 	chěng 	trhjengX 	trh- 	-jeng 	rising 	*l̥reŋʔ {*[l̥]reŋʔ} 	to run after; gratify one’s desire
稱 	称 	chèng 	tsyhingH 	tsyh- 	-ing 	departing 	*mə-tʰəŋ-s 	steelyard
离 	离 	chī 	trhje 	trh- 	-je 	even 	*C.r̥aj {*r̥aj} 	mountain demon
魑 	魑 	chī 	trhje 	trh- 	-je 	even 	*r̥aj 	demon
螭 	螭 	chī 	trhje 	trh- 	-je 	even 	*r̥aj (E. dial. *r̥- › trh-) 	demon
鴟 	鸱 	chī 	tsyhij 	tsyh- 	-ij 	even 	*tʰij 	owl (鴟鵂 tsyhij.xjuw)
治 	治 	chí 	dri 	dr- 	-i 	even 	*C.lrə 	regulate, arrange
持 	持 	chí 	dri 	dr- 	-i 	even 	*drə {*[d]rə} 	grasp, hold
坻 	坻 	chí 	drij 	dr- 	-ij 	even 	*drij {*[d]rij} 	islet
蚳 	蚳 	chí 	drij 	dr- 	-ij 	even 	*drij {*[d]rij} 	ant egg
遲 	迟 	chí 	drij 	dr- 	-ij 	even 	*lrəj {*lrə[j]} 	slow
池 	池 	chí 	drje 	dr- 	-je 	even 	*Cə.lraj 	pool (n.)
踟 	踟 	chí 	drje 	dr- 	-je 	even 	*dre {*[d]re} 	*[d]re.[d]ro walk hesitatingly
馳 	驰 	chí 	drje 	dr- 	-je 	even 	*lraj {*[l]raj} 	gallop
篪 	篪 	chí 	drje 	dr- 	-je 	even 	*lre 	a kind of flute
弛 	弛 	chí 	syeX 	sy- 	-je 	rising 	*l̥ajʔ 	slacken (a bow)
恥 	耻 	chǐ 	trhiX 	trh- 	-i 	rising 	*n̥rəʔ {*n̥rə(ŋ)ʔ} 	shame; ashamed
哆 	哆 	chǐ 	tsyhæX 	tsyh- 	-jæ 	rising 	*t-l̥ajʔ {*[t-l̥]Ajʔ} 	large
侈 	侈 	chǐ 	tsyheX 	tsyh- 	-je 	rising 	*t-l̥ajʔ 	extravagant
尺 	尺 	chǐ 	tsyhek 	tsyh- 	-jek 	entering 	*tʰak {*tʰAk} 	foot (measure)
齒 	齿 	chǐ 	tsyhiX 	tsyh- 	-i 	rising 	*t-kʰəʔ {*[t-kʰ]ə(ŋ)ʔ} 	front teeth
翅 	翅 	chì 	syeH 	sy- 	-je 	departing 	*s-kʰe-s 	wing
勅 	勅 	chì 	trhik 	trh- 	-ik 	entering 	*r̥ək {*(m-)r̥ək} 	correct (v.); to arrange
㡿 	㡿 	chì 	tsyhek 	tsyh- 	-jek 	entering 	*t-qʰak {*t-qʰAk} 	salty soil
赤 	赤 	chì 	tsyhek 	tsyh- 	-jek 	entering 	*t-qʰak {*[t-qʰ](r)Ak} 	red
斥 	斥 	chì 	tsyhek 	tsyh- 	-jek 	entering 	*tʰak {*tʰAk} 	rebuff; salty soil
厈 	厈 	chì 	tsyhek 	tsyh- 	-jek 	entering 	*tʰak {*tʰAk} 	rebuff; salty soil
熾 	炽 	chì 	tsyhiH 	tsyh- 	-i 	departing 	*tʰək-s 	blaze
舂 	舂 	chōng 	syowng 	sy- 	-jowng 	even 	*s-toŋ 	hull grain, beat (v.) stick for beating (n.)
憃 	憃 	chōng 	syowng 	sy- 	-jowng 	even 	*s.toŋ 	stupid
憃 	憃 	chōng 	trhæwng 	trh- 	-æwng 	even 	*qʰˁ‹r›oŋ {*[q]ʰˁ‹r›oŋ} 	stupid
忡 	忡 	chōng 	trhjuwng 	trh- 	-juwng 	even 	*tʰruŋ 	grieved, agitated
衝 	冲 	chōng 	tsyhowng 	tsyh- 	-jowng 	even 	*tʰoŋ 	rush against
充 	充 	chōng 	tsyhuwng 	tsyh- 	-juwng 	even 	*tʰuŋ 	full, fill
重 	重 	chóng 	drjowng 	dr- 	-jowng 	even 	*m-troŋ {*[m]-troŋ} 	repeat; double
蟲 	虫 	chóng 	drjuwng 	dr- 	-juwng 	even 	*C.lruŋ 	insect
崇 	崇 	chóng 	dzrjuwng 	dzr- 	-juwng 	even 	*dz‹r›uŋ {*[dz]‹r›uŋ} 	exalt, honor
寵 	宠 	chǒng 	trhjowngX 	trh- 	-jowng 	rising 	*r̥oŋʔ 	favor, grace
抽 	抽 	chōu 	trhjuw 	trh- 	-juw 	even 	*l̥ru 	take out, pull out
瘳 	瘳 	chōu 	trhjuw 	trh- 	-juw 	even 	*r̥iw 	recover
稠 	稠 	chóu 	drjuw 	dr- 	-juw 	even 	*driw {*[d]riw} 	dense, thick
綢 	绸 	chóu 	drjuw 	dr- 	-juw 	even 	*driw {*[d]riw} 	bind round
疇 	畴 	chóu 	drjuw 	dr- 	-juw 	even 	*dru {*[d]ru} 	in the past, yesterday
疇 	畴 	chóu 	drjuw 	dr- 	-juw 	even 	*dru {*[d]ru} 	plowed field
愁 	愁 	chóu 	dzrjuw 	dzr- 	-juw 	even 	*dzriw {*[dz]riw} 	grieved
讎 	雠 	chóu 	dzyuw 	dzy- 	-juw 	even 	*du {*[d]u} 	pay back; enemy
丑 	丑 	chǒu 	trhjuwX 	trh- 	-juw 	rising 	*n̥ruʔ {*[n̥]ruʔ} 	2d earthly branch
醜 	丑 	chǒu 	tsyhuwX 	tsyh- 	-juw 	rising 	*t.qʰuʔ 	ugly; evil
醜 	丑 	chǒu 	tsyhuwX 	tsyh- 	-juw 	rising 	*t.qʰuʔ 	category
臭 	臭 	chòu 	tsyhuwH 	tsyh- 	-juw 	departing 	*t-qʰu-s {*t-qʰu(ʔ)-s} 	odor, to stink (intransitive)?
臭 	臭 	chòu 	xjuwH 	x- 	-juw 	departing 	*qʰu-s {*[qʰ]u(ʔ)-s} 	odor, to stink (intransitive)?
臭 	臭 	chòu 	xjuwH 	x- 	-juw 	departing 	*qʰu-s {*[qʰ]u(ʔ)-s} 	odor, to stink (intransitive)?
初 	初 	chū 	tsrhjo 	tsrh- 	-jo 	even 	*tsʰra {*[ts]ʰra} 	beginning
出 	出 	chū 	tsyhwit 	tsyh- 	-wit 	entering 	*t-kʰut 	go or come out
除 	除 	chú 	drjo 	dr- 	-jo 	even 	*l‹r›a 	remove
廚 	厨 	chú 	drju 	dr- 	-ju 	even 	*dro {*[d]ro} 	kitchen
躕 	蹰 	chú 	drju 	dr- 	-ju 	even 	*dro {*[d]ro} 	drje-drjo walk hesitatingly
鋤 	锄 	chú 	dzrjo 	dzr- 	-jo 	even 	*Cə-l‹r›a (MC reflects *s-l‹r›a) 	hoe (n.)
鋤 	锄 	chú 	dzrjo 	dzr- 	-jo 	even 	*s-l‹r›a 	to hoe
芻 	刍 	chú 	tsrhju 	tsrh- 	-ju 	even 	*tsʰro {*[tsʰ]ro} 	grass for fuel or fodder
楚 	楚 	chǔ 	tsrhjoX 	tsrh- 	-jo 	rising 	*s.r̥aʔ 	thorns
楚 	楚 	chǔ 	tsrhjoX 	tsrh- 	-jo 	rising 	*s.r̥aʔ {*[s.r̥]aʔ} 	arrange in order
楚 	楚 	chǔ 	tsrhjoX 	tsrh- 	-jo 	rising 	*s.r̥aʔ 	name of a state
杵 	杵 	chǔ 	tsyhoX 	tsyh- 	-jo 	rising 	*t.qʰaʔ 	pestle
處 	处 	chǔ 	tsyhoX 	tsyh- 	-jo 	rising 	*t.qʰaʔ 	be at
豖 	豖 	chù 	trhjowk 	trh- 	-jowk 	entering 	*tʰrok 	hobbled pig (SW)
畜 	畜 	chù 	trhjuwH 	trh- 	-juw 	departing 	*qʰ‹r›uk-s 	nourish
畜 	畜 	chù 	trhjuwk 	trh- 	-juwk 	entering 	*qʰ‹r›uk 	nourish
黜 	黜 	chù 	trhwit 	trh- 	-wit 	entering 	*t.kʰ‹r›ut 	expel
處 	处 	chù 	tsyhoH 	tsyh- 	-jo 	departing 	*t.qʰaʔ-s 	place (n.)
觸 	触 	chù 	tsyhowk 	tsyh- 	-jowk 	entering 	*tʰok 	knock against
俶 	俶 	chù 	tsyhuwk 	tsyh- 	-juwk 	entering 	*tʰuk 	commence
揣 	揣 	chuǎi 	tsrhjweX 	tsrh- 	-jwe 	rising 	*s-tʰ‹r›orʔ 	to measure; to estimate
嘬 	嘬 	chuài 	tsrhwæjH 	tsrh- 	-wæj 	departing 	*tsʰˁrot-s {*[tsʰ]ˁrot-s} 	bite, eat
川 	川 	chuān 	tsyhwen 	tsyh- 	-jwen 	even 	*t.l̥un {*t.l̥u[n]} (MC -jwen is irregular) 	stream, river
穿 	穿 	chuān 	tsyhwen 	tsyh- 	-jwen 	even 	*tʰon {*tʰo[n]} 	bore through
巛 	巛 	chuān 	tsyhwen 	tsyh- 	-jwen 	even 	*tʰun {*[tʰ]u[n]} (MC -jwen is irregular) 	stream, river
傳 	传 	chuán 	drjwen 	dr- 	-jwen 	even 	*Cə-m-tron 	transmit
椽 	椽 	chuán 	drjwen 	dr- 	-jwen 	even 	*lron 	beam, rafter
船 	船 	chuán 	zywen 	zy- 	-jwen 	even 	*Cə.lon {*Cə.lo[n]} 	boat
舛 	舛 	chuǎn 	tsyhwenX 	tsyh- 	-jwen 	rising 	*tʰonʔ {*[tʰ]o[n]ʔ} 	oppose, contrary
喘 	喘 	chuǎn 	tsyhwenX 	tsyh- 	-jwen 	rising 	*tʰorʔ 	to pant
窻 	窻 	chuāng 	tsrhæwng 	tsrh- 	-æwng 	even 	*s-l̥ˁ‹r›oŋ 	window
䆫 	䆫 	chuāng 	tsrhæwng 	tsrh- 	-æwng 	even 	*s-l̥ˁ‹r›oŋ 	window
創 	创 	chuāng 	tsrhjang 	tsrh- 	-jang 	even 	*tsʰraŋ {*[tsʰ]raŋ} 	wound (v.)
瘡 	疮 	chuāng 	tsrhjang 	tsrh- 	-jang 	even 	*tsʰraŋ {*[tsʰ]raŋ} 	boil, tumor
撞 	撞 	chuáng 	dræwng 	dr- 	-æwng 	even 	*N-tˁ‹r›oŋ {*[N-t]ˁ‹r›oŋ} 	strike
牀 	牀 	chuáng 	dzrjang 	dzr- 	-jang 	even 	*k.dzraŋ 	bed
創 	创 	chuàng 	tsrhjangH 	tsrh- 	-jang 	departing 	*tsʰraŋ-s {*[tsʰ]raŋ-s} 	begin
吹 	吹 	chuī 	tsyhwe 	tsyh- 	-jwe 	even 	*tʰoj 	blow (v.)
椎 	椎 	chuí 	drwij 	dr- 	-wij 	even 	*k.druj 	hammer
垂 	垂 	chuí 	dzywe 	dzy- 	-jwe 	even 	*doj {*[d]oj} 	hang down
捶 	捶 	chuí 	tsyweX 	tsy- 	-jwe 	rising 	*tojʔ 	to beat
吹 	吹 	chuì 	tsyhweH 	tsyh- 	-jwe 	departing 	*tʰoj-s 	musical concert
出 	出 	chuì 	tsyhwijH 	tsyh- 	-wij 	departing 	*t.kʰut-s 	bring or take out
䡅 	䡅 	chūn 	trhwin 	trh- 	-win 	even 	*l̥run {*[l̥]ru[n]} 	ornate band on axle-cap of wheel (K)
輴 	輴 	chūn 	trhwin 	trh- 	-win 	even 	*l̥run {*l̥ru[n]} 	funeral car
春 	春 	chūn 	tsyhwin 	tsyh- 	-win 	even 	*tʰun 	springtime
純 	纯 	chún 	dzywin 	dzy- 	-win 	even 	*dun {*[d]un} 	pure, unmixed
淳 	淳 	chún 	dzywin 	dzy- 	-win 	even 	*dur {*[d]ur} 	a pair
淳 	淳 	chún 	dzywin 	dzy- 	-win 	even 	*dur {*[d]ur} 	simple, unadorned
淳 	淳 	chún 	dzywin 	dzy- 	-win 	even 	*dur {*[d]ur} 	ample
鶉 	鹑 	chún 	dzywin 	dzy- 	-win 	even 	*dur {*[d]ur} 	quail
脣 	脣 	chún 	zywin 	zy- 	-win 	even 	*sə.dur {*sə.[d]ur} 	lip
躇 	躇 	chuò 	trhjak 	trh- 	-jak 	entering 	*tʰrak 	jump over, pass over
綽 	绰 	chuò 	tsyhak 	tsyh- 	-jak 	entering 	*tʰawk 	indulgent, gentle
啜 	啜 	chuò 	tsyhwet 	tsyh- 	-jwet 	entering 	*tʰot 	taste, eat, drink (v.)
差 	差 	cī 	tsrhje 	tsrh- 	-je 	even 	*tsʰraj 	uneven
慈 	慈 	cí 	dzi 	dz- 	-i 	even 	*dzə 	loving, kind
祠 	祠 	cí 	zi 	z- 	-i 	even 	*sə.lə 	sacrifice
辭 	辞 	cí 	zi 	z- 	-i 	even 	*sə.lə 	words
詞 	词 	cí 	zi 	z- 	-i 	even 	*sə.lə 	utterance
此 	此 	cǐ 	tshjeX 	tsh- 	-je 	rising 	*tsʰeʔ {*[tsʰ]e(j)ʔ} 	this
泚 	泚 	cǐ 	tshjeX 	tsh- 	-je 	rising 	*tsʰeʔ {*[tsʰ]e(j)ʔ} 	clear (adj.)
賜 	赐 	cì 	sjeH 	s- 	-je 	departing 	*s-lek-s 	give
次 	次 	cì 	tshijH 	tsh- 	-ij 	departing 	*s-n̥ij-s {*[s-n̥]i[j]-s} 	lodge (v.)
次 	次 	cì 	tshijH 	tsh- 	-ij 	departing 	*s-n̥ij-s {*[s-n̥]i[j]-s} 	put in order; second
朿 	朿 	cì 	tshjeH 	tsh- 	-je 	departing 	*tsʰek-s {*[tsʰ]ek-s} 	sharp point, thorn; pierce
刺 	刺 	cì 	tshjeH 	tsh- 	-je 	departing 	*tsʰek-s {*[tsʰ]ek-s} 	sharp point, thorn
刺 	刺 	cì 	tshjek 	tsh- 	-jek 	entering 	*tsʰek {*[tsʰ]ek} 	pierce, stab
蔥 	葱 	cōng 	tshuwng 	tsh- 	-uwng 	even 	*tsʰˁoŋ {*[ts]ʰˁoŋ} 	onion
聰 	聪 	cōng 	tshuwng 	tsh- 	-uwng 	even 	*tsʰˁoŋ {*[tsʰ]ˁoŋ} 	hear well; intelligent
從 	从 	cóng 	dzjowng 	dz- 	-jowng 	even 	*dzoŋ {*[dz]oŋ} 	to follow
取 	取 	cǒu 	tshuwX 	tsh- 	-uw 	rising 	*tsʰˁoʔ 	take
粗 	粗 	cū 	tshu 	tsh- 	-u 	even 	*N-sˁra 	coarse, thick (as hair)
徂 	徂 	cú 	dzu 	dz- 	-u 	even 	*dzˁa {*[dz]ˁa} 	advance, go to
趣 	趣 	cù 	tshjowk 	tsh- 	-jowk 	entering 	*tsʰok {*[tsʰ]ok} 	urge, hasten, press
竄 	窜 	cuàn 	tshwanH 	tsh- 	-wan 	departing 	*tsʰˁon-s {*[tsʰ]ˁo[n]-s} 	hide; flee
崔 	崔 	cuī 	dzwoj 	dz- 	-woj 	even 	*dzˁuj {*[dz]ˁuj} 	high, rocky
縗 	缞 	cuī 	tshwoj 	tsh- 	-woj 	even 	*N-s.rˁuj {*[N]-s.rˁuj} 	mourning clothes
衰 	衰 	cuī 	tshwoj 	tsh- 	-woj 	even 	*N-sˁruj 	mourning clothes
催 	催 	cuī 	tshwoj 	tsh- 	-woj 	even 	*s-tʰˁuj 	urge, repress
萃 	萃 	cuì 	dzwijH 	dz- 	-wij 	departing 	*dzəp-s {*[dz][ə]p-s} 	collect, crowd
毳 	毳 	cuì 	tshjwejH 	tsh- 	-jwej 	departing 	*tsʰop-s {*[tsʰ]op-s} 	fine hair; felt
倅 	倅 	cuì 	tshwojH 	tsh- 	-woj 	departing 	*tsʰˁut-s {*[tsʰ]ˁu[t]-s} 	assistant
啐 	啐 	cuì 	tshwojH 	tsh- 	-woj 	departing 	*tsʰˁut-s {*[tsʰ]ˁu[t]-s} 	taste (v.)
淬 	淬 	cuì 	tshwojH 	tsh- 	-woj 	departing 	*tsʰˁut-s {*[tsʰ]ˁu[t]-s} 	dip into a fluid
焠 	焠 	cuì 	tshwojH 	tsh- 	-woj 	departing 	*tsʰˁut-s {*[tsʰ]ˁu[t]-s} 	burn
毳 	毳 	cuì 	tsrhjwejH 	tsrh- 	-jwej 	departing 	*tsʰ‹r›op-s {*[tsʰ]‹r›op-s} 	down, fine hair
存 	存 	cún 	dzwon 	dz- 	-won 	even 	*dzˁən {*[dz]ˁə[n]} 	exist
刌 	刌 	cǔn 	tshwonX 	tsh- 	-won 	rising 	*tsʰˁunʔ {*[tsʰ]ˁu[n]ʔ} 	cut, chop
忖 	忖 	cǔn 	tshwonX 	tsh- 	-won 	rising 	*tsʰˁunʔ {*[tsʰ]ˁu[n]ʔ} 	measure, consider
寸 	寸 	cùn 	tshwonH 	tsh- 	-won 	departing 	*tsʰˁun-s {*[tsʰ]ˁu[n]-s} 	thumb; inch
磋 	磋 	cuō 	tsha 	tsh- 	-a 	even 	*tsʰˁaj {*[tsʰ]ˁaj} 	file, polish (v.)
差 	差 	cuō 	tsha 	tsh- 	-a 	even 	*tsʰˁaj {*[tsʰ]ˁaj} 	rub, polish, file (v.)
撮 	撮 	cuō 	tshwat 	tsh- 	-wat 	entering 	*tsʰˁot {*[tsʰ]ˁot} 	pinch; a pinch
鹺 	鹾 	cuó 	dza 	dz- 	-a 	even 	*N-tsˁaj {*N-[ts]ˁaj} 	salt
瑳 	瑳 	cuǒ 	tshaX 	tsh- 	-a 	rising 	*tsʰˁarʔ 	white and brilliant
錯 	错 	cuò 	tshak 	tsh- 	-ak 	entering 	*tsʰˁak {*[tsʰ]ˁak} 	slanting
措 	措 	cuò 	tshuH 	tsh- 	-u 	departing 	*tsʰˁak-s {*[tsʰ]ˁak-s} 	place (v.)
剉 	剉 	cuò 	tshwaH 	tsh- 	-wa 	departing 	*tsʰˁoj-s {*[tsʰ]ˁoj-s} 	cut
達 	达 	dá 	dat 	d- 	-at 	entering 	*Cə.lˁat 	arrive at
答 	答 	dá 	top 	t- 	-op 	entering 	*tˁəp {*[t]ˁ[ə]p} 	answer
荅 	荅 	dá 	top 	t- 	-op 	entering 	*tˁəp {*[t]ˁ[ə]p} 	small bean
大 	大 	dà 	daH 	d- 	-a 	departing 	*lˁat-s (F!) 	big
大 	大 	dà 	dajH 	d- 	-aj 	departing 	*lˁat-s {*lˁa[t]-s} 	big
汰 	汰 	dài 	dajH 	d- 	-aj 	departing 	*lˁat-s {*lˁa[t]-s} 	wave
袋 	袋 	dài 	dojH 	d- 	-oj 	departing 	*Cə.lˁək-s 	bag
代 	代 	dài 	dojH 	d- 	-oj 	departing 	*lˁək-s 	replace
隶 	隶 	dài 	dojH 	d- 	-oj 	departing 	*m.rˁəp-s 	reach to
逮 	逮 	dài 	dojH 	d- 	-oj 	departing 	*m.rˁəp-s 	reach to
待 	待 	dài 	dojX 	d- 	-oj 	rising 	*dˁəʔ {*[d]ˁəʔ} 	wait on; depend on
殆 	殆 	dài 	dojX 	d- 	-oj 	rising 	*lˁəʔ 	danger
迨 	迨 	dài 	dojX 	d- 	-oj 	rising 	*lˁəʔ 	come to
詒 	诒 	dài 	dojX 	d- 	-oj 	rising 	*lˁəʔ 	deceive, cheat
帶 	带 	dài 	tajH 	t- 	-aj 	departing 	*C.tˁat-s {*C.tˁa[t]-s} 	girdle, strap
貸 	贷 	dài 	thojH 	th- 	-oj 	departing 	*l̥ˁək-s 	borrow; lend
戴 	戴 	dài 	tojH 	t- 	-oj 	departing 	*Cə.tˁək-s 	carry on the head
擔 	担 	dān 	tam 	t- 	-am 	even 	*mə-tˁam 	carry on the shoulder
單 	单 	dān 	tan 	t- 	-an 	even 	*Cə.tˁar 	single, simple
丹 	丹 	dān 	tan 	t- 	-an 	even 	*tˁan 	cinnabar
鄲 	郸 	dān 	tan 	t- 	-an 	even 	*tˁar {*tˁa[r]} 	place name (han.tan)
耽 	耽 	dān 	tom 	t- 	-om 	even 	*t-qˁəm {*[t-q]ˁ[ə]m} 	take pleasure
膽 	胆 	dǎn 	tamX 	t- 	-am 	rising 	*tˁamʔ {*[t]ˁamʔ} 	gall
亶 	亶 	dǎn 	tanX 	t- 	-an 	rising 	*tˁanʔ {*tˁa[n]ʔ} 	sincere, truly
啗 	啗 	dàn 	damH 	d- 	-am 	departing 	*m-rˁamʔ-s 	eat, swallow
憺 	憺 	dàn 	damX 	d- 	-am 	rising 	*lˁamʔ {*[l]ˁamʔ} 	calm
澹 	澹 	dàn 	damX 	d- 	-am 	rising 	*lˁamʔ {*[l]ˁamʔ} 	calm
啖 	啖 	dàn 	damX 	d- 	-am 	rising 	*m-rˁamʔ 	eat
啗 	啗 	dàn 	damX 	d- 	-am 	rising 	*m-rˁamʔ 	eat
彈 	弹 	dàn 	danH 	d- 	-an 	departing 	*Cə.dˁar-s {*Cə.[d]ˁar-s} 	pellet
但 	但 	dàn 	danX 	d- 	-an 	rising 	*dˁanʔ {*[d]ˁa[n]ʔ} 	only
禫 	禫 	dàn 	domX 	d- 	-om 	rising 	*N.rˁumʔ {*[N.]rˁ[u]mʔ} 	sacrifice at end of mourning
窞 	窞 	dàn 	domX 	d- 	-om 	rising 	*lˁomʔ {*rˁomʔ} in 坎窞 	khomX-domX hole or pit
萏 	萏 	dàn 	domX 	d- 	-om 	rising 	*rˁomʔ (in a binom) 	homX.domX lotus flower
擔 	担 	dàn 	tam 	t- 	-am 	even 	*tˁam-s {*tˁam} 	burden
擔 	担 	dàn 	tamH 	t- 	-am 	departing 	*tˁam-s {*mə-tˁam-s} 	burden
旦 	旦 	dàn 	tanH 	t- 	-an 	departing 	*tˁan-s {*tˁa[n]-s} 	dawn
當 	当 	dāng 	tang 	t- 	-ang 	even 	*tˁaŋ 	match (v.)
黨 	党 	dǎng 	tangX 	t- 	-ang 	rising 	*tˁaŋʔ 	500 families; relatives
碭 	砀 	dàng 	dangH 	d- 	-ang 	departing 	*lˁaŋ-s 	veined stone
蕩 	荡 	dàng 	dangH 	d- 	-ang 	departing 	*lˁaŋ-s 	throw out, purify from
愓 	愓 	dàng 	dangX 	d- 	-ang 	rising 	*lˁaŋʔ 	extravagant
當 	当 	dàng 	tangH 	t- 	-ang 	departing 	*tˁaŋ-s 	suitable
刀 	刀 	dāo 	taw 	t- 	-aw 	even 	*C.tˁaw 	knife
道 	道 	dǎo 	dawH 	d- 	-aw 	departing 	*lˁuʔ-s 	show the way
導 	导 	dǎo 	dawH 	d- 	-aw 	departing 	*lˁuʔ-s 	to lead
倒 	倒 	dǎo 	tawX 	t- 	-aw 	rising 	*tˁawʔ 	turn upside down (v.i.)
盜 	盗 	dào 	dawH 	d- 	-aw 	departing 	*dˁaw-s {*[d]ˁaw(k)-s} 	steal
悼 	悼 	dào 	dawH 	d- 	-aw 	departing 	*dˁawk-s {*[d]ˁawk-s} 	sad; pity
道 	道 	dào 	dawX 	d- 	-aw 	rising 	*kə.lˁuʔ {*[kə.l]ˁuʔ} 	way
稻 	稻 	dào 	dawX 	d- 	-aw 	rising 	*lˁuʔ {*[l]ˁuʔ} 	rice, paddy
到 	到 	dào 	tawH 	t- 	-aw 	departing 	*tˁawk-s {*tˁaw[k]-s} 	arrive
倒 	倒 	dào 	tawH 	t- 	-aw 	departing 	*tˁawʔ-s 	turn over, invert; pour
德 	德 	dé 	tok 	t- 	-ok 	entering 	*tˁək 	virtue
得 	得 	dé 	tok 	t- 	-ok 	entering 	*tˁək 	obtain
登 	登 	dēng 	tong 	t- 	-ong 	even 	*k-tˁəŋ 	a kind of sacrificial vessel
鐙 	镫 	dēng 	tong 	t- 	-ong 	even 	*k-tˁəŋ 	ritual vessel; lamp
燈 	灯 	dēng 	tong 	t- 	-ong 	even 	*k-tˁəŋ 	lamp
登 	登 	dēng 	tong 	t- 	-ong 	even 	*tˁəŋ 	ascend
