CHARACTER	Bijiang Bai	Classic Old Chinese	Comments	Dali Bai	Dialectal data	Early Postclassic Chinese	Eastern Han Chinese	English meaning	Four-angle index	Go-on	Japanese reading	Jianchuan Bai	Kan-on	Karlgren code	Late Postclassic Chinese	Middle Chinese	Middle Postclassic Chinese	Modern .Beijing. reading	Preclassic Old Chinese	Radical	Russian meaning.s.	Shijing occurrences	Sino-Tibetan etymology	Vietnamese reading	Western Han Chinese
騰		Łhǝ̄ŋ	The word can be connected etymologically with 揚 *Łaŋ 'to lift, raise' q.v. For *Łh- cf. Xiamen thiŋ<sup>2</sup>, Chaozhou theŋ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2499&root=config	dhǝ̄ŋ	lhǝ̄ŋ		4603	dou	tō;agaru;ageru;noboru;noru		tou	0893 v	dhǝ̄ŋ	dʌŋ	dhǝ̄ŋ	téng	Łhǝ̄ŋ	187	1) скакать, перескакивать; вскочить; подняться, взлететь; 2) сесть на...; оседлать; 3) освободить, очистить; уступить (<i>напр. помещение</i>); 4) переложить, поместить в другое место				Łhǝ̄ŋ
菇									1284									gū		140	гриб; древесный нарост				
怡									1429									yí		61	1) блаженство, радость, веселье; 2) согласие				
鬵		ʒ(h)ǝm	The MC reading zjim is irregular: *ʒjim would be expected according to  hsieh-sheng, and there exists another irregular MC reading - ʒjem (where ʒ- is  regular, but irregular is the final -jem).			ʒ(h)jim	ʒ(h)jǝm		0					0660 k	ʒ(h)jim	zjim	ʒ(h)jim	cén	ʒ́(h)ǝm	0			response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1373&root=config		ʒ(h)ǝm
雎		cha	Used only in 雎鳩 *ćha-kru 'osprey'. The modern reading jū is secondary, due to the influence of 狙疽咀沮 etc.			chjo	chja		857					0046 r-s	chjo	chjö	chjo	jū	ćha	172	雎鳩 1) <i>зоол.</i> скопа (Pandion haliaetus); <i>перен.</i> брачная пара; 2) ковылять, идти с трудом	1.1			cha
偏		phen	A colloquial loan from the same source is Viet. xiên 'inclined, oblique'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1104&root=config	phjen	phjan		3698					0246 h	phjen	phjen	phjen	piān	phen	9	1) бок; боковой; побочный; 2) наклонный; отклониться; нагнуться в сторону; 3) пристрастный, несправедливый; односторонний; 4) неожиданно; вопреки, напротив; как назло; 5) <i>вежл.</i> поесть, попить (<i>только о себе</i>)			thiên	phjan
唈									0					0683 i						0					
錄		rok	For *r cf. Xiamen liɔk<sup>8</sup>, Chaozhou lok<sup>8</sup>, Fuzhou luok<sup>8</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2224&root=config	lok	rok		5525					1208 m	lok	löuk	lok	lù	rok	167	1) записывать, протоколировать; переписывать, снимать копию; вписывать, заполнять; запись, протокол; копия; 2) отбирать [на службу], зачислять				rok
角	qõ6	krōk	Viet. gạc is colloquial (with a specialized meaning 'antlers'); another  colloquial loanword from the same source is góc 'corner, angle' (cf. also  hóc id.?). Regular Sino-Viet. is giác.	kü6	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+451&root=config	kọ̄k	krōk		3617			kü6		1225 a-c	kọ̄k	kạuk	kọ̄k	jiǎo	krōk	148	1) рог; рога; бодаться; трубить в рог; 2) угол; грань; мыс; <i>перен.</i> направление; 3) бороться, состязаться; 4) ссориться; ссора; 5) гривенник; монета в 10 фэнь (центов); 6) <i>счетный суффикс официальных бумаг</i>; 7) артист; ампула, роль; 8) стручок, рожки; 9) третья ступень китайской гаммы	11.3_, 17.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+817&root=config	gạc	krōk
攀		phrān			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2411&root=config	phạ̄n	phrān		3278					0263 d	phạ̄n	phạn	phạ̄n	pān	phrān	64	1) цепляться, карабкаться; лазить; влезать; 2) удерживать, задерживать, не пускать; 3) стягивать, стаскивать; тянуть				phrān
副		phrǝk	Also read *phǝk, MC phük id. Another reading is *phǝk-s, MC phǝ̀w, Mand. fù (hence Viet. phó) 'a k. of head-dress' (thus in Shi 47.1); since Han the word obtained the meaning 'next in rank, deputy' (it is not quite clear whether these two meanings of *phǝk-s > phǝ̀w are actually related to each other).			phɨk	phrǝk		2825					0933 s	phɨk	phɨk	phɨk	fù	phrǝk	18	1) помогать; помощник; заместитель, вице-; 2) второй; вторичный, побочный; дубликат, копия; 3) соответствовать; 4) комплект, набор	47.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+271&root=config	phó	phrǝk
矛		mu	For *m cf. Xiamen, Chaozhou, Fuzhou mau<sup>2</sup>, Jianou me<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+204&root=config	miw	mǝw		3029					1109 a-b	mǝw	mǝw	mǝw	máo	mu	110	боевая секира			mâu	mǝw
饒		ŋew	Standard Sino-Viet. is nhiêu. The character has also a number of later attested meanings: 'to forgive'; 'to chat'. Min dialects reflect an archaic *ŋ-: cf. Xiamen giau<sup>2</sup>, Fuzhou ŋieu<sup>2</sup>, Jianou ŋiau<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2498&root=config	ńew	ńaw		7322					1164 o	ńew	ńew	ńew	ráo	ŋew	184	1) богатый, обильный; тучный (<i>о земле</i>); в избытке; во множестве; 2) добавить; добавочно, дополнительно; 3) втянуть, втравить; 4) прощать, снисходить; пощадить; жертвовать; щедрый; снисходительный; 5) пусть даже; хотя бы; 6) болтать; 7) Жао (<i>фамилия</i>)			nhiều	ŋjaw
魏		ŋwǝj	Also read *ŋuj-s, MC ŋwɨ̀j id. For *ŋ cf. Xiamen gui<sup>6</sup>, Chaozhou ŋui<sup>4</sup>, gui<sup>6</sup>, Fuzhou ŋui<sup>6</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2402&root=config	ŋwɨj	ŋwǝj		7473					0569 k	ŋwɨj	ŋwɨj	ŋwɨj	wèi	ŋuj	194	1) высокий; вздыматься; 2) Вэй (<i>название царства</i>); 3) Вэйская династия (<i>первая - 220-265 г. н. э., вторая - 386-557 г. н. э.</i>); 4) Вэй (<i>фамилия</i>)				ŋwǝj
冀		krǝjh	Cf. 覬.			kiś	krǝś		7858					0603 a-b	kì	kì	kìj	jì	krǝjs	12	1) надеяться, желать; 2) <i>сокр.</i> пров. Хэбей; 3) <i>уст.</i> Цзи (<i>одна из 9 областей древнего Китая</i>); 4) Цзи (<i>фамилия</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+705&root=config		krǝjh
潔		kēt	See 絜.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2012&root=config	kiēt	kiāt		8273					0279 j	kiēt	kiet	kiēt	jié	kēt	85	1) чистый, прозрачный; чистить; мыть; содержать в чистоте; 2) совершенствовать				kjāt
蕎									0									qiao		0					
瓮									0					1173 g						0					
辱		nok	For *n cf. Xiamen ʒiɔk<sup>8</sup>, Chaozhou zok<sup>8</sup>, Fuzhou ük<sup>8</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1072&root=config	ńok	ńok		3206					1223 a	ńok	ńöuk	ńok	rǔ	nok	161	1) позорить, срамить; стыд, позор; 2) <i>вежл.</i> незаслуженный; не по (<i>моим</i>) заслугам; 3) удостоиться	46.3_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+595&root=config	nhục	nok
歿		mhǝ̄t	Not quite clear is the relationship of this word to 沒 *mǝ̄t q.v. (the  words would seem identical, but the Jian-ou dialect preserves a distinction:  沒 mo<sup>8</sup> vs. 歿 mu<sup>7</sup>. Standard Sino-Viet. is một.			mhǝ̄t	mhǝ̄t		9999					0492 c, 503 k	mhǝ̄t	mot	mhǝ̄t	mò	mhǝ̄t	78	умереть, скончаться*			mất	mhǝ̄t
儦									0					1170 b						0					
巟									0					0742 v-x						0					
巡		lhwǝn	Attested already in Shujing, but absent from Schüssler's dictionary.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+464&root=config	zhwɨn	zhwǝn		6632					0462 e	zhwɨn	zjwin	zhwɨn	xún	lhun	47	1) патрулировать; объезжать; крейсировать; 2) ездить с инспекторским осмотром, инспектировать			tuần	lhwǝn
方		paŋ	The original meaning (defined in Shuowen and attested in Shijing) is 'a square raft'. A related word is 膀 *pāŋ-s id. q. v.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=++99&root=config	pwaŋ	pwaŋ		4220	hau			hau	0740 a-f	pwaŋ	pwaŋ	pwaŋ	fāng	paŋ	70	1) страна света; сторона; направление; 2) квадрат; квадратный; <i>мат.</i> квадрат, вторая степень числа; 3) правильный, справедливый, беспристрастный, честный; нравственный; 4) местоположение; место; местный; <i>древн.</i> страна, государство; 5) метод, способ; прием; рецепт; 6) магия, колдовство; знахарство; 7) идти рядом; рядом, бок-о-бок; 8) противиться, не подчиняться; нарушать; 9) только тогда, только после этого; только что; только так, <i>вм.</i> 才; только-только, как раз; 10) Фан (<i>фамилия</i>)	9.1_, 9.2_, 9.3_, 12.2_, 29.3_, 29.4, 35.4, 38.1, 38.4, 50.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+183&root=config	phu'o'ng	paŋ
俄		ŋāj	A later meaning is 'suddenly, unexpectedly'. In Viet. cf. also nga` 'to lean, incline'. For *ŋ- cf. Min forms: Xiamen go<sup>2</sup>, Chaozhou ŋo<sup>2</sup>, Fuzhou ŋɔ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+683&root=config	ŋā	ŋǟ		6770					0002 h	ŋā	ŋâ	ŋā	é	ŋāj	9	1) вдруг, внезапно, неожиданно; в один момент; 2) <i>сокр.</i> Россия; русский		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2480&root=config	nga	ŋāj
粲		chānh	A derivate of 餐 *ćhān 'to eat' q.v. Also used for a homonymous *ćhān-s  'be beautiful'.			chā̀n	chānh		5319					0154 b	chā̀n	châǹ	chā̀n	cān	ćhāns	119	1) лучший очищенный рис; 2) чистый, свежий; ясный; 3) осклабиться; веселый (<i>о смехе</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1649&root=config		chānh
釃		sre	Also read *sreʔ, MC ṣé; *sra, MC ṣö id.			ṣe	ṣe		6944					0878 h	ṣe	ṣe	ṣe	shāi	sre	164	процеживать (фильтровать) вино		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1523&root=config		ṣe
敘		lhá	= 序 q.v.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1186&root=config	zhó	zhá		6054					0082 o	zhó	zjö́	zhó	xù	lhaʔ	66	1) излагать; говорить, беседовать; изложение; повествовать; пересказывать; 2) предисловие; объяснение, объяснительная статья (<i>к чужому или своему литературному произведению</i>); 3) порядок, последовательность; располагать по порядку; 4) аттестовать (<i>чиновников</i>); продвигать по службе; награждать, поощрять; 5) пировать, быть на банкете				lhá
錣		trwāt	Also used for *trot-s, MC ṭwèj, Pek. zhùi 'needles used as tallies' [LZ].			ṭwạ̄t	ṭwāt		0					0295 j	ṭwạ̄t	ṭwạt	ṭwạ̄t	zhuá	trōt	0					ṭwāt
筋	ćĩ4	kǝn	Regular Sino-Viet. is cân.	će5	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1485&root=config	kɨn	kǝn		4698			ćĩ4		0445 a	kɨn	kɨn	kɨn	jīn	kǝn (~ -r)	118	1) мускулы, мышцы; жилы; сухожилия; мышечный, мускульный; 2) волокна, прожилки; 3) <i>перен.</i> физическая сила			gân	kǝn
烹		phrāŋ			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1224&root=config	phẹ̄ŋ	phrēŋ		8592					0751 a	phẹ̄ŋ	phạ̈iŋ	phẹ̄ŋ	pēng	phrāŋ	86	1) варить; стряпать; 2) жарить (<i>в масле с соей</i>); 3) испугать, вспугнуть		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+305&root=config		phrāŋ
隳		(s)l̥waj				s(h)jwe	s(h)jwe		8326					0011 f	s(h)jwe	xwe	s(h)jwe	huī	sl(h)oj	170	ломать, разрушать; уничтожать				(s)l̥waj
勩		lać				źeś	źaś		4718					0339 k	jèj	jèj	jèj	yì	lats	19	тяжело трудиться		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1721&root=config		laś
釜		b(h)á	Mod. 3d tone is irregular (4th tone would be expected). In LZ the meaning 'a measure' ( &lt; *'pot') is also attested.			b(h)wó	b(h)wá		383					0102 f-g	b(h)wó	bǘ	b(h)wó	fǔ	b(h)aʔ	167	1) котел для варки пищи (<i>без ножек</i>); 2) фу (<i>древняя мера сыпучих тел, равная 6 доу 4 шэн</i>); 3) <i>см.</i> 滏	15.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+177&root=config		b(h)á
皁		ʒ(h)ū́				ʒ(h)ǝ̄́w	ʒ(h)ǝ̄́w		4613						ʒ(h)ā́w	ʒấw	ʒ(h)ā́w	réng	ʒ(h)ūʔ	113	счастье; благо		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1178&root=config		ʒ(h)ǝ̄́w
節		cīt	Since Han also used with the meaning "(joint > ) section; season; new season's festival" (= "joining parts of the year"). Viet. tết is a colloquial loan (only with the meaning 'new year's festival'); standard Sino-Viet. is tiết.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1682&root=config	ciēt	ciǝ̄t		2095					0399 e-f	ciēt	ciet	ciēt	jié	ćīt	118	1) коленце (<i>бамбука</i>); 2) колено; сочленение, сустав; членик; 3) подразделение, звено; 4) параграф; абзац; отрывок; 5) такт, ритм; 6) отрезок времени; сезон года; 7) праздник; 8) душевная чистота, целомудрие; 9) экономить; экономия; умеренность; регулировать; ограничивать, обуздывать; 10) пункт, вопрос; 11) <i>счетный суффикс дел, вопросов</i>; 12) верительная бирка (<i>посла</i>)	37.1_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1233&root=config	tết	cjǝ̄t
豆	dɨ2	d(h)ōh	A round vessel of clay or wood for serving solid food. Since Late Zhou the character is used for a homonymous word *d(h)ōs 'bean(s)'.	tɨ3	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+454&root=config	d(h)ṑw	d(h)wāh		556			tɨ3		0118 a-c	d(h)ǝ̄̀w	dʌ̀w	d(h)ǝ̄̀w	dòu	d(h)ōs	151	1) бобы; соя; <i>общее название для бобовых растений</i>; 2) <i>древн.</i> сосуд для мяса; жертвенный сосуд; 3) Доу (<i>фамилия</i>)			d_ậu	d(h)wāh
脣					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1269&root=config				3560					0455 u				chún		130	губы; губной				
滑		grwǝ̄t	For *g- cf. Xiamen kut<sup>8</sup>, Chaozhou kuk<sup>8</sup>, Fuzhou kok<sup>8</sup>, Jianou ko<sup>8</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1650&root=config	gwǝ̣̄t	grwǝ̄t		3551					0486 e	gwiǝ̣̄t	ɣwạ̈t	gwiǝ̣̄t	huá	grūt	85	1) гладкий, скользкий; скользить; поскользнуться; 2) хитрый; вкрадчивый; изворотливый; 3) Хуа (<i>фамилия</i>); [huá gǔ] смешной, комичный		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2233&root=config		grwǝ̄t
政		teŋh	A specialized usage of 正 q.v.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+755&root=config	ćèŋ	ćeŋh		6163					0833 r-s	ćèŋ	ćèŋ	ćèŋ	zhèng	teŋs	66	1) управлять, править; правительственный; административный; 2) принципы управления; политика; политический; 3) режим, уклад; строй; порядок; законы; статут; 4) <i>уст.</i> правитель, глава; 5) выправлять; 6) <i>древн.</i> обложение налогом	40.2, 40.3			teŋh
